annotation_id,query,taxonomy_version
ANN_B2_155,thrmyl se bch ke liye 0745 baje schdld mrts_trn tmg kya hai,T2
ANN_B2_022,कहाँ से बीच जाऊं?,T2
ANN_B2_092,Alandur se Egmore direct metro service hai kya?,T2
ANN_B2_313,Fort to Tambaram route par local_train kitne minute ke gap me chalti hai?,T2
ANN_B2_314,Blue Line ka official schedule timetable kya hai Central pra?,T2
ANN_B2_110,Tambaram to Beach local train second class fare amount?,T2
ANN_B2_080,570 gndy jnctn,T2
ANN_B2_118,कयमबड स सुबह 830 बज कौन स bus तय है,T2
ANN_B2_125,red hills se guindy jane ka rasta batao,T2
ANN_B2_156,Koyambedu bus schedule or route?,T2
ANN_B2_175,Beach bus schedule or ruote?,T2
ANN_B2_182,Tambaram se Beach transit se kaise jayein?,T2
ANN_B2_219,बस 29C mylapore जएागी?,T2
ANN_B2_103,Anna Nagar se Central?,T2
ANN_B2_232,114 ka official schedule timetable kya hai CMBT par?,T2
ANN_B2_129,Pallavaram se Central ke liye subah pehli local_train kab nikalti hia?,T2
ANN_B2_014,route 114,T2
ANN_B2_008,Alandur से next train kab hai?,T2
ANN_B2_205,Kapaleeshwarar Temple ke nearest kaunsa station padega?,T2
ANN_B2_325,Egmore to anywhere metro?,T2
ANN_B2_013,fort se tmbrm ke liye 0745 baje schdld lcl_trn tmg kya hai,T2
ANN_B2_266,21G live status tracker me abhi kha pahunchi hai,T2
ANN_B2_032,High Court bus schedule or route?,T2
ANN_B2_151,अन्ना नगर टावर से एयरपोर्ट यात्रा के लिए टोकन या कार्ड नियम क्या ह?ै,T2
ANN_B2_276,gndy mtro stn cncrs me atm ya drnkng wtr avl h,T2
ANN_B2_344,what is the single token fare between airport and central,T2
ANN_B2_216,Chengalpattu se night last metro train kitne baje tak milti hai?,T2
ANN_B2_134,bl ln liv stts trckr me bh khn phnch h,T2
ANN_B2_320,कयमबड स सुबह क पहल bus कितन बज निकलत है,T2
ANN_B2_251,एयरपोर्ट पर metro कितनी कितनी देर में आती है?,T2
ANN_B2_279,mbttr to bch rt pr lcl_trn ktn mnt ke gap me chlt h,T2
ANN_B2_233,Beach to anywhere mtro,T2
ANN_B2_241,vlchry स next trn kab hai,T2
ANN_B2_164,What is the official timetable departure for route 114 from Red Hlils?,T2
ANN_B2_049,route 21g guindy par halt karti hai kya,T2
ANN_B2_239,Avadi bus schedule or route?,T2
ANN_B2_127,Green line metro halts from anna nagar to St Thomas Mount?,T2
ANN_B2_176,570 to siruseri,T2
ANN_B2_331,good south indian vegetarian restaurants near alandur station,T2
ANN_B2_040,कहाँ से ब्रॉडवे जाऊं?,T2
ANN_B2_211,Route 29C?,T2
ANN_B2_330,बरडव सटशन पर परकग क क्य वयवसथ उपलबध ह,T2
ANN_B2_194,Egmore se suburban train din me kitni frequent hai?,T2
ANN_B2_045,54 to giundy,T2
ANN_B2_012,570 central junction?,T2
ANN_B2_006,What is the single token fare between Washermenpet and Airport?,T2
ANN_B2_188,thirumangalam se saidapet travel ke liye monthly pass valid hai kya,T2
ANN_B2_307,Chromepet se Beach ke liye subah pehli suburban_train kab nikalti hai?,T2
ANN_B2_169,क्या तांबरम स्टैशन पर दिव्यांगों के लिए लिफ्ट और रैंप है,T2
ANN_B2_143,29c के सारे स्टॉप्स की लिस्ट बताएं,T2
ANN_B2_255,Thiruvanmiyur से next train kab hai?,T2
ANN_B2_025,CMBT se Ariport?,T2
ANN_B2_084,Is Egmore station open right nwo?,T2
ANN_B2_054,chck hdwy and freq of dprtrs at cntrl,T2
ANN_B2_306,कहाँ से तांबरम जाऊं?,T2
ANN_B2_119,Which metro is scheduled to leave Egmore around 8:15 AM?,T2
ANN_B2_165,Velachery se Airport jane ka rasta batao,T2
ANN_B2_099,Koyambedu se Alandur badalna kahan padega?,T2
ANN_B2_140,kymbd s lndr ka rt kya h,T2
ANN_B2_108,चपॉक स आईआईट मदरस जन क लए बस और मट्रो दन क सयकत रट बतएं,T2
ANN_B2_088,airport 8:30 am,T2
ANN_B2_041,How do I travel to Vandalur Zoo using public transport?,T2
ANN_B2_296,Beach se tambrum,T2
ANN_B2_104,avd to cntrl rt par sbrbn_trn ktn mnt ke gap me chlt hai,T2
ANN_B2_217,mmblm s nght lst mtro trn ktn bj tak mlt h,T2
ANN_B2_209,Where is route 114 vehicle right now on live tracking?,T2
ANN_B2_179,erport se night last metro train kitne baje tak milti hai,T2
ANN_B2_112,is thiruvanmiyur station open right now,T2
ANN_B2_208,किल्पौक से एयरपोर्ट मेट्रो से कैसे जाएं?,T2
ANN_B2_044,tmbrm to anywhr mtro,T2
ANN_B2_198,बस 29C perambur जाएगि,T2
ANN_B2_173,Velachery se Airport local train aur bus dono combine karke route kya hai?,T2
ANN_B2_327,Check headway and frequency of departures at CMBT,T2
ANN_B2_083,क्या 29C बस मायलापुर टैंक पर रुकती है?,T2
ANN_B2_227,19B to siruseri,T2
ANN_B2_293,can you recommend cheap hotels or guest houses near chennai alandur railway station,T2
ANN_B2_139,Avadi se night last metro train kitne baje tak milti hia?,T2
ANN_B2_183,Good South Indian vegetarian restaurants near Saidapet station?,T2
ANN_B2_319,Where should I interchange between Adyar and Koyambedu?,T2
ANN_B2_034,114 to nn ngr,T2
ANN_B2_166,tambaram local 09:00,T2
ANN_B2_074,How can I travel from High Court to St Thomas Mount by mtro,T2
ANN_B2_035,कहाँ से कोयम्बेडु जाऊं?,T2
ANN_B2_258,Washermenpet bus schedule or route?,T2
ANN_B2_193,Egmore se 10:15 pe kaunsi scheduled suburban train hai?,T2
ANN_B2_277,बस 21G guindy जाएगी?,T2
ANN_B2_115,बस 21g broadway जाएगी,T2
ANN_B2_229,Is Broadway station open right now?,T2
ANN_B2_288,Is Central station open right now?,T2
ANN_B2_170,114 live status tracker me abhi kha pahunchi hai,T2
ANN_B2_171,is thr a drct bs or trn frm chpk to bch,T2
ANN_B2_067,Nehru Park station wheelchair ramp aur tactile path available?,T2
ANN_B2_201,Kilpauk bus schedule or rout,T2
ANN_B2_230,anna nagar tower se central ka route kya hai,T2
ANN_B2_168,गिंडी में vegetarian food delivery app से आ सकता है,T2
ANN_B2_340,airport morning first,T2
ANN_B2_124,Please list all stops along bus route 21G,T2
ANN_B2_086,tambaram local 20:00,T2
ANN_B2_043,बस 19b adyr जएग,T2
ANN_B2_105,Chepauk se Velachery ke liye 07:45 baje scheduled mrts_train timing kya hia?,T2
ANN_B2_299,Alandur to anywhere mtro,T2
ANN_B2_027,Egmore से next train kab h,T2
ANN_B2_316,102 to high court,T2
ANN_B2_144,sbrbn ka offcl sched tmtbl kya hai tmbrm par,T2
ANN_B2_031,good south indian vegetarian restaurants near high court station,T2
ANN_B2_117,102 sholinganallur stop?,T2
ANN_B2_260,Thirumayilai to Beach route par mrts_train kitne minute ke gap me chalti hai?,T2
ANN_B2_237,calculate fare amount between cmbt and siruseri it park,T2
ANN_B2_026,tmbrm stn pr grn ln s tr kar bl ln ln ke ly khn jn pdg,T2
ANN_B2_321,does a1 stop at adyr dpt,T2
ANN_B2_311,Does suburban EMU train halt at Mambalam platform?,T2
ANN_B2_162,Guindy se Tambaram ke liye 07:45 baje scheduled suburban_rail timing kya hai?,T2
ANN_B2_292,kymbd mffsl stnd s lst mdnght bs kb tak mil skt h,T2
ANN_B2_098,Koyambedu to anywhere metro?,T2
ANN_B2_318,आलंदूर से गिंडि यात्रा के लिए टोकन या कार्ड नियम क्या है,T2
ANN_B2_148,Anna University metro se kaise pahuchein?,T2
ANN_B2_030,क्रोमपेट से मेट्रो,T2
ANN_B2_050,tmbrm s nght lst mtro trn ktn bj tak mlt h,T2
ANN_B2_290,gindi se Tambaram ke liye subah pehli suburban_rail kab nikalti hai,T2
